,LMDirichlet_score,QO,query_id,rank,system_name
Atmospheric_carbon_dioxide.,-24.88251886866903,Q0,7,57,LM Dirichlet
Reducing_emissions_from_deforestation_and_forest_degradation.,-24.899048231604645,Q0,7,58,LM Dirichlet
Carbon_lock-in.,-24.90824666476275,Q0,7,59,LM Dirichlet
Climate_change_in_Scotland.,-24.91462623477775,Q0,7,60,LM Dirichlet
Climate_change_in_Russia.,-24.916033199309915,Q0,7,61,LM Dirichlet
"Land_use,_land-use_change,_and_forestry.",-24.960615130748497,Q0,7,62,LM Dirichlet
Attribution_of_recent_climate_change.,-24.961444162584442,Q0,7,63,LM Dirichlet
Climate_change_in_Japan.,-24.964389035410342,Q0,7,64,LM Dirichlet
Climate_change_mitigation_scenarios.,-24.988126770703005,Q0,7,65,LM Dirichlet
European_Climate_Change_Programme.,-24.99301352729264,Q0,7,66,LM Dirichlet
Climate_change_in_Finland.,-25.007987324673074,Q0,7,67,LM Dirichlet
Climate_change_feedback.,-25.01222938454974,Q0,7,68,LM Dirichlet
Environmental_technology.,-25.027785622992262,Q0,7,69,LM Dirichlet
Charles_David_Keeling.,-25.033207806138748,Q0,7,70,LM Dirichlet
Global_warming_in_popular_culture.,-25.053310126219962,Q0,7,71,LM Dirichlet
EPA_Federal_Test_Procedure.,-25.088470189313753,Q0,7,72,LM Dirichlet
Carbon_footprint_unfocussed.csv,-25.098550053229268,Q0,7,73,LM Dirichlet
Carbon_Footprint.csv,-25.10094669821349,Q0,7,74,LM Dirichlet
Land_footprint.,-25.103700446368258,Q0,7,75,LM Dirichlet
Infrared_window.,-25.12092879435286,Q0,7,76,LM Dirichlet
Low-carbon_economy.,-25.122657009710686,Q0,7,77,LM Dirichlet
Climate_change_and_poverty.,-25.1313060090475,Q0,7,78,LM Dirichlet
Anoxic_event.,-25.13170465791547,Q0,7,79,LM Dirichlet
Global_dimming.,-25.142719255186968,Q0,7,80,LM Dirichlet
Sustainable_market.,-25.164491271061046,Q0,7,81,LM Dirichlet
Climate_change_in_South_Korea.,-25.166015999322227,Q0,7,82,LM Dirichlet
Index_of_climate_change_articles.,-25.21796697212875,Q0,7,83,LM Dirichlet
Social_and_environmental_impact_of_palm_oil.,-25.230824328730762,Q0,7,84,LM Dirichlet
Environmental_impact_of_shipping.,-25.23118438773284,Q0,7,85,LM Dirichlet
Carbon_offset.,-25.23964544198015,Q0,7,86,LM Dirichlet
2000-watt_society.,-25.260175177359727,Q0,7,87,LM Dirichlet
Atmospheric_thermodynamics.,-25.283003579928604,Q0,7,88,LM Dirichlet
Local_food.,-25.30817464364847,Q0,7,89,LM Dirichlet
List_of_countries_by_greenhouse_gas_emissions_per_capita.,-25.30828060654692,Q0,7,90,LM Dirichlet
Climate_engineering.,-25.315468521237865,Q0,7,91,LM Dirichlet
Individual_action_on_climate_change.,-25.343895326346747,Q0,7,92,LM Dirichlet
Planetary_management.,-25.34996581717551,Q0,7,93,LM Dirichlet
G8_Climate_Change_Roundtable.,-25.350958779082006,Q0,7,94,LM Dirichlet
Tropospheric_ozone.,-25.383224331118576,Q0,7,95,LM Dirichlet
Environmental_impact_of_the_petroleum_industry.,-25.390657471217427,Q0,7,96,LM Dirichlet
History_of_climate_change_science.,-25.40209480087057,Q0,7,97,LM Dirichlet
I_%3D_PAT.,-25.41325330796971,Q0,7,98,LM Dirichlet
Global_climate_regime.,-25.421829835627634,Q0,7,99,LM Dirichlet
Greenhouse_gas_emissions_accounting.,-25.424604498247042,Q0,7,100,LM Dirichlet
