,LMDirichlet_score,QO,query_id,rank,system_name
Wine.,-20.280174765316445,Q0,8,46,LM Dirichlet
Industrialisation.,-20.281869988203734,Q0,8,47,LM Dirichlet
Sustainable_procurement.,-20.316745980356664,Q0,8,48,LM Dirichlet
Carbon_emission_label.,-20.323459981744442,Q0,8,49,LM Dirichlet
Sustainable_urban_infrastructure.,-20.509625154929303,Q0,8,50,LM Dirichlet
Jan_Baptist_van_Helmont.,-20.57350537927474,Q0,8,51,LM Dirichlet
Dry_ice.,-20.578203487200685,Q0,8,52,LM Dirichlet
Sustainable_city.,-20.595093576539423,Q0,8,53,LM Dirichlet
Virtual_camera_system.,-20.611289591690543,Q0,8,54,LM Dirichlet
Social_sustainability.,-20.618042552523754,Q0,8,55,LM Dirichlet
Supercritical_drying.,-20.655707532717763,Q0,8,56,LM Dirichlet
Ash_(analytical_chemistry).,-20.695176006447667,Q0,8,57,LM Dirichlet
Emissions_trading.,-20.753723309988615,Q0,8,58,LM Dirichlet
Scientific_opinion_on_climate_change.,-20.8298463522275,Q0,8,59,LM Dirichlet
Deaths_in_2018.,-20.84978427901548,Q0,8,60,LM Dirichlet
Sustainability_organizations.,-20.853386499392883,Q0,8,61,LM Dirichlet
Wind_power.,-20.908724196050485,Q0,8,62,LM Dirichlet
Sustainability_brand.,-20.933184283022694,Q0,8,63,LM Dirichlet
Phase_diagram.,-20.986413699017625,Q0,8,64,LM Dirichlet
Michael_Faraday.,-21.016565732069544,Q0,8,65,LM Dirichlet
Sustainable_urban_drainage_systems.,-21.028720419651165,Q0,8,66,LM Dirichlet
British_Satellite_Broadcasting.,-21.07990926565265,Q0,8,67,LM Dirichlet
Energy_poverty.,-21.08293943422837,Q0,8,68,LM Dirichlet
Food_miles.,-21.086320669184186,Q0,8,69,LM Dirichlet
National_Diet_Library.,-21.130807975268453,Q0,8,70,LM Dirichlet
Biosecurity.,-21.149845848337304,Q0,8,71,LM Dirichlet
Individual_action_on_climate_change.,-21.18299583465943,Q0,8,72,LM Dirichlet
Ethical_consumerism.,-21.190313269041958,Q0,8,73,LM Dirichlet
Population_and_Development_Review.,-21.244479549065705,Q0,8,74,LM Dirichlet
World_Population_Foundation.,-21.292886752547478,Q0,8,75,LM Dirichlet
Triple_point.,-21.323311962940156,Q0,8,76,LM Dirichlet
Sustainable_community.,-21.33302789713934,Q0,8,77,LM Dirichlet
Australia.,-21.344772610114667,Q0,8,78,LM Dirichlet
Population_and_Environment.,-21.364418262542255,Q0,8,79,LM Dirichlet
Sustainable_materials_management.,-21.40763460400534,Q0,8,80,LM Dirichlet
Climate_change_in_Sweden.,-21.412344362958173,Q0,8,81,LM Dirichlet
Carbon_intensity.,-21.43391048867604,Q0,8,82,LM Dirichlet
Overshoot_(population).,-21.450379102075225,Q0,8,83,LM Dirichlet
trigram_Doc_TC.txt,-21.466632938597222,Q0,8,84,LM Dirichlet
bigram_Doc_TC.txt,-21.466632938597222,Q0,8,85,LM Dirichlet
World_Population_Day.,-21.484824201436524,Q0,8,86,LM Dirichlet
Environmental_technology.,-21.5070682096874,Q0,8,87,LM Dirichlet
International_Conference_on_Population_and_Development.,-21.52135489739111,Q0,8,88,LM Dirichlet
Sustainable_design.,-21.536012695349044,Q0,8,89,LM Dirichlet
Humphry_Davy.,-21.550890013063572,Q0,8,90,LM Dirichlet
Sustainable_industries.,-21.552780908720223,Q0,8,91,LM Dirichlet
Ecological_modernization.,-21.557983863992717,Q0,8,92,LM Dirichlet
Anti-consumerism.,-21.59451314094637,Q0,8,93,LM Dirichlet
Population_Connection.,-21.616964236072135,Q0,8,94,LM Dirichlet
Population_ethics.,-21.620551688814434,Q0,8,95,LM Dirichlet
Planetary_management.,-21.638112237881465,Q0,8,96,LM Dirichlet
Global_warming.,-21.639349240768738,Q0,8,97,LM Dirichlet
Anthropogenic_climate_change.,-21.639958358504483,Q0,8,98,LM Dirichlet
Physiological_density.,-21.64481847670468,Q0,8,99,LM Dirichlet
Geopark.,-21.65057333738274,Q0,8,100,LM Dirichlet
